V1_R1_lh,V1_R2_lh,V2_R1_lh,V2_R2_lh,V3_R1_lh,V3_R2_lh,V4_R1_lh,V4_R2_lh,V1_R1_rh,V1_R2_rh,V2_R1_rh,V2_R2_rh,V3_R1_rh,V3_R2_rh,V4_R1_rh,V4_R2_rh,NLetters,NLetters_S1,NLetters_S2,NLetters_RightMeridian,NLetters_LeftMeridian,crowdingDist_Ecc5_Left_Meridian_Ses1,crowdingDist_Ecc5_Left_Meridian_Ses2,crowdingDist_Ecc5_Lower_Meridian_Ses1,crowdingDist_Ecc5_Lower_Meridian_Ses2,crowdingDist_Ecc5_Right_Meridian_Ses1,crowdingDist_Ecc5_Right_Meridian_Ses2,crowdingDist_Ecc5_Upper_Meridian_Ses1,crowdingDist_Ecc5_Upper_Meridian_Ses2,crowdingDist_Ecc10_Left_Meridian_Ses1,crowdingDist_Ecc10_Left_Meridian_Ses2,crowdingDist_Ecc10_Lower_Meridian_Ses1,crowdingDist_Ecc10_Lower_Meridian_Ses2,crowdingDist_Ecc10_Right_Meridian_Ses1,crowdingDist_Ecc10_Right_Meridian_Ses2,crowdingDist_Ecc10_Upper_Meridian_Ses1,crowdingDist_Ecc10_Upper_Meridian_Ses2
1400,1429,1587,1392,893,1119,358,331,1672,1895,1732,1374,1071,1247,533,489,569,520,622,703,183,1.5548038976823,1.52100381295008,1.01400254196672,1.40270351638729,0.642201609912254,0.709801779376702,1.6900042366112,1.11540279616339,3.26170817665961,2.95750741406959,2.70400677857791,3.54900889688351,2.73780686331014,1.23370309272617,3.05890766826626,2.83920711750681
1425,1570,1426,1386,892,875,719,799,1521,1588,1370,1351,1064,1276,774,675,749,706,793,812,399,1.03090258433283,0.878802203037822,1.47030368585174,1.03090258433283,0.86190216067171,0.490101228617247,1.23370309272617,1.31820330455673,2.04490512629955,2.58570648201513,2.70400677857791,2.41670605835401,1.4196035587534,1.92660482973676,2.94060737170348,3.32930834612406
1515,1473,1481,1541,1241,1460,530,324,1311,1347,1245,1302,875,1176,603,598,514,504,523,390,481,1.14920288089561,0.86190216067171,1.52100381295008,1.2675031774584,0.929502330136158,0.726701821742814,1.90970478737065,1.80830453317398,1.19990300799395,2.77160694804236,3.29550826139183,2.75470690567625,2.73780686331014,2.70400677857791,4.27571071862632,4.19121050679577
1859,1666,1541,1738,1719,1436,408,358,1996,1744,1703,1745,930,935,358,411,419,408,430,318,353,1.03090258433283,1.09850275379728,1.80830453317398,1.35200338928896,1.79140449080787,1.08160271143117,1.70690427897731,1.50410377058396,2.33220584652345,2.31530580415734,3.49830876978518,3.87010970183964,1.52100381295008,2.55190639728291,4.74891190487746,4.90101228617247
1771,1695,1392,1440,1236,1432,269,221,1382,1356,1408,1365,1071,1381,533,538,560,522,600,655,359,0.760501906475038,0.86190216067171,1.21680305036006,0.997102499600605,0.794301991207262,0.709801779376702,1.80830453317398,1.36890343165507,2.92370732933737,3.07580771063238,3.59970902398185,3.66730919344629,1.79140449080787,1.75760440607564,4.96861245563692,4.32641084572466
1203,1247,1276,1253,1055,1328,581,423,1509,1054,1235,1351,961,1195,521,346,437,434,439,227,567,0.811202033573374,0.86190216067171,1.72380432134342,1.50410377058396,1.47030368585174,1.23370309272617,1.40270351638729,1.43650360111952,1.58860398241452,2.12940533813011,4.76581194724357,4.27571071862632,2.92370732933737,2.78850699040847,4.08981025259909,4.27571071862632
1228,1183,1347,1308,928,1048,437,320,1177,1182,1330,1219,946,1155,505,381,423,433,411,270,259,1.33510334692284,1.08160271143117,1.14920288089561,1.35200338928896,1.18300296562784,1.14920288089561,1.8421046179062,1.80830453317398,2.33220584652345,3.38000847322239,2.9744074564357,2.85610715987292,2.78850699040847,2.75470690567625,4.07291021023298,4.00531004076853
1730,1699,1151,1155,745,899,553,462,1720,1654,1409,1757,918,829,476,381,394,347,446,467,112,1.52100381295008,1.38580347402118,1.47030368585174,1.30130326219062,1.06470266906505,0.828102075939486,1.31820330455673,1.48720372821785,5.47561372662027,5.22211309112859,4.32641084572466,3.59970902398185,2.36600593125567,1.67310419424508,3.65040915108018,3.36310843085628
1202,1240,1512,1470,1061,997,249,343,1424,1302,1249,1398,864,891,279,365,302,285,319,257,239,1.35200338928896,1.35200338928896,1.99420499920121,1.87590470263843,1.04780262669894,0.86190216067171,2.12940533813011,2.12940533813011,2.19700550759455,3.32930834612406,5.12071283693192,3.93770987130409,4.529211354118,2.8223070751407,4.56301143885023,5.17141296403026
1230,1219,1568,1389,1525,1130,383,384,1304,1224,1711,1411,1615,1395,420,531,296,278,315,149,200,1.6900042366112,1.6900042366112,1.57170394004841,1.47030368585174,1.57170394004841,1.77450444844176,2.23080559232678,1.94350487210288,3.49830876978518,1.90970478737065,3.61660906634796,3.44760864268684,3.14340788009682,3.92080982893797,4.20811054916188,4.2419106338941
